# PIT top-100 liquidity universe (v6 monthly_pit_universe).
# One row per (symbol, month): from_date <= as_of < to_date; empty to_date = current.
# Regenerate monthly: python scripts/build_daily_universe.py
symbol,name,sector,from_date,to_date
LTIM,LTIM,UNKNOWN,2024-01-01,2024-02-01
ONGC,ONGC,UNKNOWN,2024-01-01,2024-02-01
CIPLA,CIPLA,UNKNOWN,2024-01-01,2024-02-01
INDIGO,INDIGO,UNKNOWN,2024-01-01,2024-02-01
GMDCLTD,GMDCLTD,UNKNOWN,2024-01-01,2024-02-01
HDFCLIFE,HDFCLIFE,UNKNOWN,2024-01-01,2024-02-01
AUROPHARMA,AUROPHARMA,UNKNOWN,2024-01-01,2024-02-01
BPCL,BPCL,UNKNOWN,2024-01-01,2024-02-01
GAIL,GAIL,UNKNOWN,2024-01-01,2024-02-01
IOC,IOC,UNKNOWN,2024-01-01,2024-02-01
JSWSTEEL,JSWSTEEL,UNKNOWN,2024-01-01,2024-02-01
MAHABANK,MAHABANK,UNKNOWN,2024-01-01,2024-02-01
VBL,VBL,UNKNOWN,2024-01-01,2024-02-01
BRITANNIA,BRITANNIA,UNKNOWN,2024-01-01,2024-02-01
JSWENERGY,JSWENERGY,UNKNOWN,2024-01-01,2024-02-01
TATACOMM,TATACOMM,UNKNOWN,2024-01-01,2024-02-01
HDFCAMC,HDFCAMC,UNKNOWN,2024-01-01,2024-02-01
TVSMOTOR,TVSMOTOR,UNKNOWN,2024-01-01,2024-02-01
ANGELONE,ANGELONE,UNKNOWN,2024-01-01,2024-02-01
SAIL,SAIL,UNKNOWN,2024-01-01,2024-02-01
AMBUJACEM,AMBUJACEM,UNKNOWN,2024-01-01,2024-02-01
NESTLEIND,NESTLEIND,UNKNOWN,2024-01-01,2024-02-01
HDFCBANK,HDFCBANK,UNKNOWN,2024-02-01,2024-03-01
RELIANCE,RELIANCE,UNKNOWN,2024-02-01,2024-03-01
ICICIBANK,ICICIBANK,UNKNOWN,2024-02-01,2024-03-01
SBIN,SBIN,UNKNOWN,2024-02-01,2024-03-01
AXISBANK,AXISBANK,UNKNOWN,2024-02-01,2024-03-01
INFY,INFY,UNKNOWN,2024-02-01,2024-03-01
ZOMATO,ZOMATO,UNKNOWN,2024-02-01,2024-03-01
TATAMOTORS,TATAMOTORS,UNKNOWN,2024-02-01,2024-03-01
BAJFINANCE,BAJFINANCE,UNKNOWN,2024-02-01,2024-03-01
KOTAKBANK,KOTAKBANK,UNKNOWN,2024-02-01,2024-03-01
TCS,TCS,UNKNOWN,2024-02-01,2024-03-01
ADANIENT,ADANIENT,UNKNOWN,2024-02-01,2024-03-01
IRFC,IRFC,UNKNOWN,2024-02-01,2024-03-01
MARUTI,MARUTI,UNKNOWN,2024-02-01,2024-03-01
LT,LT,UNKNOWN,2024-02-01,2024-03-01
RECLTD,RECLTD,UNKNOWN,2024-02-01,2024-03-01
PFC,PFC,UNKNOWN,2024-02-01,2024-03-01
PNB,PNB,UNKNOWN,2024-02-01,2024-03-01
ITC,ITC,UNKNOWN,2024-02-01,2024-03-01
ADANIPORTS,ADANIPORTS,UNKNOWN,2024-02-01,2024-03-01
BHARTIARTL,BHARTIARTL,UNKNOWN,2024-02-01,2024-03-01
TATASTEEL,TATASTEEL,UNKNOWN,2024-02-01,2024-03-01
BHEL,BHEL,UNKNOWN,2024-02-01,2024-03-01
INDUSINDBK,INDUSINDBK,UNKNOWN,2024-02-01,2024-03-01
M&M,M&M,UNKNOWN,2024-02-01,2024-03-01
HINDUNILVR,HINDUNILVR,UNKNOWN,2024-02-01,2024-03-01
COALINDIA,COALINDIA,UNKNOWN,2024-02-01,2024-03-01
HAL,HAL,UNKNOWN,2024-02-01,2024-03-01
YESBANK,YESBANK,UNKNOWN,2024-02-01,2024-03-01
BANKBARODA,BANKBARODA,UNKNOWN,2024-02-01,2024-03-01
NTPC,NTPC,UNKNOWN,2024-02-01,2024-03-01
ZEEL,ZEEL,UNKNOWN,2024-02-01,2024-03-01
IDEA,IDEA,UNKNOWN,2024-02-01,2024-03-01
TATAPOWER,TATAPOWER,UNKNOWN,2024-02-01,2024-03-01
HCLTECH,HCLTECH,UNKNOWN,2024-02-01,2024-03-01
IBULHSGFIN,IBULHSGFIN,UNKNOWN,2024-02-01,2024-03-01
